,xochitl_num_interaction_share_x,xochitl_voting_intention_x,claudia_num_interaction_share_x,claudia_voting_intention_x,date,xochitl_voting_intention_y,claudia_voting_intention_y,maynez_voting_intention,maynez_num_interaction_share,maynez_like_count_share,maynez_comment_count_share,xochitl_num_interaction_share_y,xochitl_like_count_share,xochitl_comment_count_share,claudia_like_count_share,claudia_num_interaction_share_y,maynez_x_num_interaction_share,maynez_x_comment_count_share,maynez_x_like_count_share,maynez_youtube_num_interaction_share,maynez_youtube_like_count_share,maynez_youtube_comment_count_share,maynez_facebook_like_count_share,maynez_facebook_num_interaction_share,maynez_instagram_num_interaction_share,maynez_instagram_like_count_share,maynez_instagram_comment_count_share,xochitl_x_num_interaction_share,xochitl_x_comment_count_share,xochitl_youtube_num_interaction_share,xochitl_youtube_comment_count_share,xochitl_youtube_like_count_share,xochitl_facebook_num_interaction_share,xochitl_facebook_comment_count_share,xochitl_facebook_like_count_share,xochitl_instagram_like_count_share,xochitl_instagram_comment_count_share,xochitl_instagram_num_interaction_share,claudia_x_like_count_share,claudia_x_num_interaction_share,claudia_youtube_num_interaction_share,claudia_youtube_comment_count_share,claudia_youtube_like_count_share,claudia_facebook_num_interaction_share,claudia_facebook_comment_count_share,claudia_facebook_like_count_share,claudia_instagram_like_count_share,claudia_instagram_comment_count_share,claudia_instagram_num_interaction_share
0,40.10828098343207,29.0,48.93390234318655,64.7,2024-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65.53291653562394,29.1,28.70795025542253,64.7,2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,65.29503703917771,29.1,29.444701326474583,64.7,2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,58.91167982996953,29.3,36.832195676314676,64.6,2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,56.93711903208166,29.4,39.15526449254471,64.6,2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56.77776422857048,29.5,39.63161594701752,64.6,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,54.6939856768679,29.5,41.90710487747764,64.6,2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,54.309347987336395,29.6,42.44889138978689,64.6,2024-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,54.28458834749538,29.8,42.600219718028,64.5,2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,54.96622878252777,29.9,42.10813364219219,64.5,2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,56.02522006897742,30.1,41.46480819282262,64.4,2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,55.467158486893396,30.2,41.546235587422224,64.4,2024-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,53.64710109259878,30.5,42.91629994368571,64.2,2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,53.63403362070736,30.6,42.87925855608164,64.1,2024-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,52.308669581864756,30.7,44.33215281337438,64.1,2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,51.81692752411746,30.7,44.83585913334723,64.1,2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,52.34604449026038,30.8,44.338486679860836,64.1,2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,51.6186455661119,31.0,45.02057854889593,63.9,2024-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,51.13239705983964,31.2,45.582128954884915,63.7,2024-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,50.76032240196777,31.2,45.96626376869211,63.7,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,49.01941113608843,31.6,48.08578177679303,63.2,2024-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,48.32012117644089,32.0,48.97890467490009,62.6,2024-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,47.882044357103865,32.1,49.45373742645774,62.4,2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,47.55145357280365,32.2,49.83654547415368,62.1,2024-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,47.380980442423656,32.2,50.026401761384484,62.0,2024-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,46.802112917494476,32.4,50.69921552504491,61.3,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,46.61924318823995,32.5,50.89927583921159,61.1,2024-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,46.49722073111116,32.5,51.04251774250476,61.0,2024-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,46.568084872263995,32.6,51.010122461756715,60.5,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,46.361257906987646,32.7,51.24743573562218,60.1,2024-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,47.135924117887626,32.7,50.49036426528575,59.9,2024-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,47.222869856237516,32.8,50.44840907675,59.5,2024-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,45.91797745836399,31.5,51.214217037043895,60.9,2024-04-12,31.5,60.9,7.7,2.8678055045921043,4.522842154410172,4.3238380159556025,45.91797745836399,32.615556915599804,38.47641345820326,62.861600929990026,51.214217037043895,2.493838888717953,4.872956779359323,6.867484197158009,0.9075488858832184,5.886832533392118,8.982648401826484,1.3554975681407053,4.612122588824371,8.299262189662624,3.853125454466402,1.9902912621359223,57.1759054631649,61.77902746016135,26.582507166612096,25.680365296803654,26.15632421166545,23.827646025017486,25.83052029215948,12.33457701309621,25.85836990304217,22.178398058252426,38.85384003536708,40.87540422385419,40.33025564811715,72.50994394750468,65.33698630136986,67.95684325494243,71.56023138615814,70.44776246311869,86.30992541876309,70.28850464249142,75.83131067961165,52.8468977749703
33,45.837962153791274,31.5,51.26542738696664,60.8,2024-04-13,31.5,60.8,7.7,2.8966104592420847,4.522842154410172,4.3238380159556025,45.837962153791274,32.615556915599804,38.47641345820326,62.861600929990026,51.26542738696664,2.5318111060315465,4.759533661853334,6.772904229870921,0.8936896517935337,4.757597647911064,7.605233043639625,1.3901685780042095,4.5912607190484405,8.385737857239695,4.153061194499226,2.0207066922030696,57.069114527736,62.40620868460363,26.377999822045652,22.837348838647824,22.343226109320334,23.761944802873238,25.795422800938955,12.41780592875268,26.09605487842512,27.02140061620451,38.774211397060846,41.23923698617731,40.399074366232455,72.72831052616083,69.55741811771256,72.8991762427686,71.64679447807832,70.52589006883727,86.19202549324311,69.75088392707565,70.95789269159242,52.84005074569945
34,45.678758586027364,31.6,51.40141822618911,60.7,2024-04-14,31.6,60.7,7.8,2.919823187783521,4.471085317819712,4.208943850378113,45.678758586027364,32.2329416882477,38.93469779923963,63.29597299393258,51.40141822618911,2.5262990799000247,4.462452621604548,6.0658203066780905,0.9055590890630849,4.179384570288853,6.390987135528113,1.519246236584956,4.585981431396181,8.406140901135494,4.414093938586769,1.9759721783117294,57.00427191287467,59.6538415982312,26.168056269880953,19.832942329010802,19.21943401877258,23.68046719067502,24.85763562488832,12.505402031163717,26.136568683891703,26.591316260933713,38.72232979534573,42.32761497062933,40.46942900722531,72.92638464105596,73.77607053546107,76.60118141093857,71.73355137792879,71.53877826894242,85.97535173225133,69.44933737752153,71.43271156075456,52.87152930351877
35,45.19207693001724,31.8,51.71147830919177,60.0,2024-04-21,31.8,60.0,8.2,3.0964447607909835,4.66008584321965,4.031096625557539,45.19207693001724,33.96117562575743,38.45051891402023,61.378738531022925,51.71147830919177,2.6739218633588084,4.434046515888221,5.916350793195277,0.9326198608772747,2.402030191608929,2.9650557062539304,2.4568838080220754,5.053849749257093,8.663192245198644,7.128407196688083,2.3328988769961954,56.702187562083694,54.93973696463602,25.202232891853292,18.010906599337346,15.706186846720904,23.85480816147099,26.100695596219985,12.937102372896202,26.637371753234053,28.43582553286728,37.93212617147858,42.594659185024724,40.62389057455749,73.86514724726943,79.02403769440872,81.89178296167017,71.09134208927192,69.92774678202574,84.60601381908171,66.23422105007786,69.23127559013652,53.40468158332278
36,44.98093850330692,31.9,51.91080415008832,59.9,2024-04-22,31.9,59.9,8.2,3.1082573466047645,4.632388015587167,3.9204240554811385,44.98093850330692,33.151604818250796,37.00725875495148,62.216007166162036,51.91080415008832,2.66188322878735,4.4076901328809726,5.583712283217114,0.915392669403557,2.078609625097322,2.632979165627442,2.4180089149714346,4.9834199681847595,8.626298837428623,7.15425804125584,2.01910141092494,56.39243222098156,53.38068985015549,24.946349993343674,17.04910127866181,15.227277339123358,23.524916098732028,24.669087607807537,12.411756102607276,27.046263673339165,26.427324579446527,37.81736845034934,44.816208916420145,40.94568455023109,74.13825733725277,80.31791955571074,82.69411303577931,71.49166393308322,71.59759418974126,85.17023498242129,65.79947828540499,71.55357400962853,53.55633271222203
37,44.61623695817635,31.9,52.296778209068286,59.8,2024-04-23,31.9,59.8,8.3,3.0869848327553666,4.379317426249429,3.733040195747459,44.61623695817635,32.00046858908566,35.29713195748389,63.62021398466491,52.296778209068286,2.642360146310838,4.162096784681611,5.217079606893978,0.9202385980629967,2.005870793537227,2.6865671641791042,2.5607583537218233,5.000557828005336,9.226730438224457,9.897084656895466,2.3928996732791172,56.22988606848578,53.213584362550236,24.706555989424192,16.602922885572138,14.434017279146921,23.311903852172616,23.953154803108255,12.229562296564728,27.230099382958144,27.30613034229356,37.707850887463856,45.719411373101515,41.12775378520339,74.37320541251282,80.71050995024875,83.56011192731584,71.68753831982205,72.26134186274106,85.20967934971345,62.87281596014639,70.30096998442733,53.06541867431168
38,44.422362693688,31.9,52.45890985484133,59.7,2024-04-24,31.9,59.7,8.4,3.118727451470675,4.553157278646941,3.6946078602012045,44.422362693688,31.76665751805199,35.165001566470565,63.680185203301065,52.45890985484133,2.6473628803915297,4.273530818492959,5.173022467497571,0.9195802972078145,1.9013449635870927,2.584554194803708,2.556681799453405,4.970262915197781,9.203521598914689,9.813068507296672,2.3204648822502194,56.17949767374799,53.38642118710569,24.796777332129384,17.327887146617833,15.930234528192694,23.194389529345965,23.707942933492802,12.147699652613714,27.183200740499085,27.49040539073985,37.667978240348106,45.8454145222298,41.173139445860485,74.2836423706628,80.08755865857846,82.16842050822021,71.83534755545625,72.58875606640056,85.29561854793289,63.00373075220425,70.18912972700994,53.128500160737204
39,43.956770280170204,32.1,52.78404426467975,59.3,2024-04-28,32.1,59.3,8.6,3.2591854551500448,5.1742722858298595,4.084796860793415,43.956770280170204,31.369333091932127,34.65399891776884,63.45639462223801,52.78404426467975,2.9786301314977637,6.420807625521853,6.565849040788388,0.9347313592562174,1.753527384657267,2.529484175832903,2.1329537843268587,4.45873231359247,9.482721835776449,10.81353219159203,2.647015256998963,56.565231560480534,55.54054753020283,24.17990398908642,16.045404779868505,14.764024202214152,21.642443355036622,21.107293250445977,10.371399866041527,27.854502704910683,26.186490890238485,37.109599269070834,40.16134689582603,40.45613830802171,74.88536465165735,81.42511104429859,83.48244841312858,73.8988243313709,75.79435008284085,87.49564634963161,61.33196510349729,71.16649385276256,53.40767889515272
40,43.69979594195877,32.2,53.00578909048098,59.1,2024-04-30,32.2,59.1,8.7,3.2944149675602477,5.066908732913719,4.385914755268186,43.69979594195877,33.503879411131,34.95208972070348,61.42921185595528,53.00578909048098,3.032779332737875,6.642687089008962,6.489017399950611,1.0727429736889398,2.203084479125522,3.240158124956141,2.1445199475980883,4.401340720616832,9.54022723851188,10.92898815564413,2.693571281012388,56.39402672321724,55.14138290171417,23.983881035330317,16.57739000257304,15.338244764922704,21.529475723081553,20.8730502910742,10.483586703486235,27.431678536079858,25.304376220337062,36.65194250847938,40.71581909904919,40.57319394404488,74.94337599098074,80.18245187247082,82.45867075595179,74.06918355630161,76.10161605776106,87.37189334891568,61.639333308276015,72.00205249865054,53.80783025300874
41,43.36943498147062,32.4,53.17998153521992,58.5,2024-05-05,32.4,58.5,9.1,3.4505834833094635,5.398517126775632,4.632483733695512,43.36943498147062,33.96460972764447,34.93121039163668,60.6368731455799,53.17998153521992,3.2765226442415383,7.077367205542726,7.029225935046543,1.1036790936232106,2.1007490236019435,2.935988198287503,2.2492040472184702,4.338654564793732,9.482017799958717,10.685088551748253,2.4473899315628356,56.09956542040562,54.643816922107916,23.612609660874227,16.85568659896813,15.626014957444347,21.416662073084343,20.096485148758177,10.504172066763019,28.45316149308903,26.65683650409501,36.47964449436119,40.612773458822645,40.623911935352844,75.28371124550256,80.20832520274436,82.27323601895371,74.24468336212192,76.96128306078613,87.24662388601851,60.861749955162715,70.89577356434216,54.03833770568009
42,43.29039644309744,32.5,53.23608753441648,58.4,2024-05-06,32.5,58.4,9.1,3.4735160224860824,5.43199283914007,4.682152413525645,43.29039644309744,33.95510415083628,35.168930277937044,60.61290301002366,53.23608753441648,3.3456668628860133,7.346318464122027,7.229059375382074,1.0874163448746164,1.9878134437797654,2.8290869491748185,2.2732025782327843,4.3229819379722345,9.285554596182257,10.118836827768233,2.2382524469523988,56.078318604844334,54.498657742214704,23.32976127317755,16.51602485871463,15.03107667121617,21.322741384694627,19.72358799574021,10.425042222870715,28.389057637007593,28.07874847898699,36.28300062981181,40.352943874218,40.57601453226965,75.58282238194784,80.65488819211055,82.98110988500407,74.35427667733315,77.34246958732689,87.3017551988965,61.49210553522417,69.6829990740606,54.43144477400593
43,43.14751101553316,32.7,53.239339225404436,57.9,2024-05-10,32.7,57.9,9.4,3.6131497590623938,5.643804537474061,5.062064810985956,43.14751101553316,34.5696430130147,35.703180622756925,59.786552449511234,53.239339225404436,3.4297729538661814,7.435004918640563,7.169548573706268,1.1173992388858058,1.9652419408458341,2.692985223747174,2.680453526809072,4.556582665417552,9.529403750122569,10.77334906099433,2.263798669726555,56.09693317177956,54.537521890772325,22.997703147883364,16.501025398327812,15.05658000494925,21.15462406724221,19.486300064784118,10.742858323781528,30.68078545789325,30.690073947299044,36.91146239378236,39.884891155594794,40.47329387435426,75.88489761323083,80.80598937792502,82.97817805420492,74.28879326734024,77.01699085945113,86.57668814940939,58.54586548111242,67.04612738297439,53.55913385609507
44,42.820961594327024,33.3,53.014384685504,56.7,2024-05-19,33.3,56.7,10.0,4.164653720168976,6.8369911838059805,6.988282377858751,42.820961594327024,35.141705061359396,35.82027273716217,58.02130375483462,53.014384685504,4.253706822669066,10.148431595964018,8.782577712678451,1.1727949910293332,1.8982600634324716,2.831468209481102,2.8056096006869318,4.546328561118796,10.824448304260935,13.0959691880843,8.117977898078266,56.062443187645094,53.11224267050203,22.2711897945503,16.798126201153107,14.873071393968276,20.731527797046294,19.510785877591417,10.69412121480583,32.98931951847978,29.21523689097878,37.146215304603444,37.48731379994258,39.68384998968584,76.55601521442037,80.37040558936579,83.22866854259925,74.72214364183492,76.72703514383474,86.50026918450723,53.91471129343592,62.666785210942955,52.02933639113563
45,42.91079092914777,33.5,52.880109930513505,56.3,2024-05-22,33.5,56.3,10.2,4.209099140338713,6.6649907913895206,6.8957035183916675,42.91079092914777,36.32581617069962,35.94118659267422,57.009193037910855,52.880109930513505,4.5761095227297055,10.676657106676476,9.454109482698684,1.2480850008120192,2.004067495547624,2.756672405199938,2.9028966641790865,4.562200332992541,11.34144122893229,14.030002720663305,8.87940693444661,55.639654052013285,52.11229067709089,22.05566449123498,16.582910198120864,15.228082706188653,20.567757069652433,19.256186714442357,10.746042676484894,33.19418741808454,28.60528294936534,37.05043908566318,37.8425875817271,39.78423642525701,76.696250507953,80.6604173966792,82.76784979826373,74.87004259735502,76.98338914307857,86.35106065933601,52.77580986125216,62.51531011618805,51.60811968540453
46,42.70802145663576,33.6,52.85595569160634,56.1,2024-05-23,33.6,56.1,10.3,4.436022851757902,7.248964085872929,7.4137619383630335,42.70802145663576,35.954500817168636,35.56359517283764,56.796535096958436,52.85595569160634,4.751030883125349,11.074671419072608,9.895718010253411,1.2674832940351626,2.0180731267235092,3.0148841673131765,2.9366888120013686,4.5904346825760465,11.748787563915036,14.76937482642953,9.793472020583664,55.42624952151086,51.69120063693231,22.126147827001805,16.821793752497076,15.570999079489617,20.457310264994554,19.195987224282437,10.659403023481502,32.69932432923646,28.335302127199114,36.75709968005598,37.92494844163045,39.82271959536379,76.60636887896302,80.16332208018974,82.41092779378687,74.9522550524294,76.91204904503654,86.40390816451713,52.531300844334005,61.87122585221723,51.49411275602899
47,42.55146316863763,33.7,52.871737556811595,56.0,2024-05-24,33.7,56.0,10.4,4.576799274550773,7.569958584885277,7.768477697146407,42.55146316863763,35.71326738965034,35.40030457116187,56.716774025464375,52.871737556811595,4.747038108435364,10.847229666451113,9.777592495652437,1.2532094761240968,1.9569359246258782,2.9604816720336578,2.9303082102349816,4.5791803454974875,11.66917449010598,14.577862267415417,9.497209946114092,55.309958228687385,51.24870681227315,22.05012739446758,16.99362130016903,15.592408065471247,20.385056392925527,19.136648328681417,10.6095680375851,33.13286090750556,29.000020312404786,36.93934555136737,38.27845829274895,39.94300366287725,76.69666312940832,80.04589702779731,82.45065600990287,75.03576326157699,77.00226190957756,86.46012375217992,52.28927682507902,61.502769741481124,51.39147995852665
48,42.45181196687595,33.7,52.986021576239175,55.8,2024-05-25,33.7,55.8,10.5,4.562166456884871,7.460888292012938,7.631263962417119,42.45181196687595,35.607598013328165,35.30220124067235,56.931513694658896,52.986021576239175,4.847038383860075,10.84130087153463,9.978029777496063,1.253931492409666,1.9303538512263414,2.9998317064961295,2.9226980969531953,4.564324140006147,11.61172880174495,14.42527326677431,9.405981647283552,55.25809122892675,51.06730891702501,21.8879552821625,16.904080716770046,15.412239082584971,20.324615369234678,19.09831005928186,10.601153058721358,33.6093193903171,29.080677031652574,37.132917825443926,38.15159551110503,39.894870387213174,76.85811322542784,80.09608757673382,82.65740706618868,75.11106049075917,77.06941618263406,86.47614884432545,51.965407342908584,61.513341321063876,51.25535337281112
49,42.381982884280504,33.8,53.006837178824206,55.7,2024-05-26,33.8,55.7,10.5,4.611179936895291,7.5288268792923345,7.623076869097277,42.381982884280504,35.56044192172142,35.23588835189423,56.91073119898624,53.006837178824206,4.843945208812947,10.6827350124086,9.870141565028538,1.2541959567997463,1.9151740696421518,2.9636402965410107,2.92169625997398,4.54878271425756,11.547987397164812,14.256144918754002,9.311866812566622,55.19523236471648,50.9158271626343,21.70865959741596,16.715827974750752,15.13868927039598,20.30848312590771,19.074605481302576,10.611065338020618,33.919718455232854,29.057842546802497,37.24652094504549,38.3464251188537,39.96082242647057,77.0371444457843,80.32053172870823,82.94613665996187,75.14273415983473,77.13097406717564,86.4672384020054,51.82413662601315,61.63029064063088,51.20549165778969
50,42.167903182053095,34.0,53.228671777653204,55.3,2024-05-28,34.0,55.3,10.7,4.603425040293706,7.395592851244215,7.434037425570761,42.167903182053095,35.30566450176278,34.85851794472596,57.298742646993006,53.228671777653204,4.8740795317753225,10.520856288292457,9.75501333571741,1.2312514759333937,1.829646766251885,2.816000652512823,2.8610826052958234,4.476135616101052,11.283472748480754,13.64409255203824,8.630919064144184,55.034053146495346,50.40103558434941,21.41644781583471,16.176386079973604,14.816708968382253,20.089661055371415,18.767827159994336,10.477506329506161,34.327055729629116,27.954357894298383,37.27316210538936,38.764644785672445,40.09186732172934,77.3523007082319,81.00761326751358,83.35364426536587,75.43420332852753,77.55999184599513,86.66141106519801,52.02885171833264,63.41472304155743,51.443365146129885
