date,claudia_num_interaction_share,claudia_like_count_share,claudia_comment_count_share,claudia_view_count_share,xochitl_num_interaction_share,xochitl_like_count_share,xochitl_comment_count_share,xochitl_view_count_share,maynez_num_interaction_share,maynez_like_count_share,maynez_comment_count_share,maynez_view_count_share,claudia_x_num_interaction_share,claudia_x_like_count_share,claudia_x_comment_count_share,claudia_x_view_count_share,xochitl_x_num_interaction_share,xochitl_x_like_count_share,xochitl_x_comment_count_share,xochitl_x_view_count_share,maynez_x_num_interaction_share,maynez_x_like_count_share,maynez_x_comment_count_share,maynez_x_view_count_share,claudia_facebook_num_interaction_share,claudia_facebook_like_count_share,claudia_facebook_comment_count_share,claudia_facebook_view_count_share,xochitl_facebook_num_interaction_share,xochitl_facebook_like_count_share,xochitl_facebook_comment_count_share,xochitl_facebook_view_count_share,maynez_facebook_num_interaction_share,maynez_facebook_like_count_share,maynez_facebook_comment_count_share,maynez_facebook_view_count_share,claudia_instagram_num_interaction_share,claudia_instagram_like_count_share,claudia_instagram_comment_count_share,claudia_instagram_view_count_share,xochitl_instagram_num_interaction_share,xochitl_instagram_like_count_share,xochitl_instagram_comment_count_share,xochitl_instagram_view_count_share,maynez_instagram_num_interaction_share,maynez_instagram_like_count_share,maynez_instagram_comment_count_share,maynez_instagram_view_count_share,claudia_youtube_num_interaction_share,claudia_youtube_like_count_share,claudia_youtube_comment_count_share,claudia_youtube_view_count_share,xochitl_youtube_num_interaction_share,xochitl_youtube_like_count_share,xochitl_youtube_comment_count_share,xochitl_youtube_view_count_share,maynez_youtube_num_interaction_share,maynez_youtube_like_count_share,maynez_youtube_comment_count_share,maynez_youtube_view_count_share,claudia_voting_intention,xochitl_voting_intention,maynez_voting_intention
2024-01-14,48.93390234318655,,,,40.10828098343207,,,,10.95781667338138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,29.0,6.3
2024-01-15,28.70795025542253,,,,65.53291653562394,,,,5.759133208953526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,29.1,6.3
2024-01-16,29.444701326474583,,,,65.29503703917771,,,,5.260261634347696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,29.1,6.2
2024-01-19,36.832195676314676,,,,58.91167982996953,,,,4.256124493715792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.3,6.1
2024-01-22,39.15526449254471,,,,56.93711903208166,,,,3.9076164753736258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.4,6.0
2024-01-24,39.63161594701752,,,,56.77776422857048,,,,3.59061982441199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.5,5.9
2024-01-25,41.90710487747764,,,,54.6939856768679,,,,3.398909445654464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.5,5.9
2024-01-27,42.44889138978689,,,,54.309347987336395,,,,3.2417606228767175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,29.6,5.8
2024-01-29,42.600219718028,,,,54.28458834749538,,,,3.1151919344766186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,29.8,5.7
2024-01-31,42.10813364219219,,,,54.96622878252777,,,,2.925637575280031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,29.9,5.7
2024-02-07,41.46480819282262,,,,56.02522006897742,,,,2.5099717381999587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,30.1,5.5
2024-02-08,41.546235587422224,,,,55.467158486893396,,,,2.9866059256843736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,30.2,5.4
2024-02-14,42.91629994368571,,,,53.64710109259878,,,,3.4365989637155065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,30.5,5.3
2024-02-17,42.87925855608164,,,,53.63403362070736,,,,3.4867078232109994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,30.6,5.2
2024-02-19,44.33215281337438,,,,52.308669581864756,,,,3.3591776047608586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,30.7,5.2
2024-02-20,44.83585913334723,,,,51.81692752411746,,,,3.3472133425353103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,30.7,5.2
2024-02-21,44.338486679860836,,,,52.34604449026038,,,,3.315468829878774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,30.8,5.2
2024-02-25,45.02057854889593,,,,51.6186455661119,,,,3.3607758849921803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9,31.0,5.1
2024-02-28,45.582128954884915,,,,51.13239705983964,,,,3.2854739852754484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,31.2,5.1
2024-02-29,45.96626376869211,,,,50.76032240196777,,,,3.2734138293401194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,31.2,5.1
2024-03-06,48.08578177679303,,,,49.01941113608843,,,,2.894807087118547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,31.6,5.2
2024-03-12,48.97890467490009,,,,48.32012117644089,,,,2.700974148659018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,32.0,5.4
2024-03-14,49.45373742645774,,,,47.882044357103865,,,,2.66421821643839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4,32.1,5.5
2024-03-17,49.83654547415368,,,,47.55145357280365,,,,2.6120009530426698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,32.2,5.7
2024-03-18,50.026401761384484,,,,47.380980442423656,,,,2.5926177961918593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,32.2,5.8
2024-03-24,50.69921552504491,,,,46.802112917494476,,,,2.4986715574606118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,32.4,6.2
2024-03-26,50.89927583921159,,,,46.61924318823995,,,,2.4814809725484657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,32.5,6.4
2024-03-27,51.04251774250476,,,,46.49722073111116,,,,2.4602615263840732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,32.5,6.5
2024-03-31,51.010122461756715,,,,46.568084872263995,,,,2.4217926659792965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,32.6,6.9
2024-04-03,51.24743573562218,,,,46.361257906987646,,,,2.3913063573901763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,32.7,7.2
2024-04-04,50.49036426528575,,,,47.135924117887626,,,,2.3737116168266192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9,32.7,7.4
2024-04-07,50.44840907675,,,,47.222869856237516,,,,2.3287210670124905,,,,40.02989405988251,36.89484021888823,28.16811360118447,,57.58753889609892,54.29214735880545,65.61343293626759,,2.382567044018565,8.813012422306315,6.21845346254795,,72.83088345549432,86.30568615664995,67.97662712967815,,23.888671817272687,12.580613582696795,28.904873052922404,,3.280444727233004,1.1137002606532524,3.1184998173994503,,54.43744555679779,76.79130230658187,79.90314769975787,,37.90094448238661,19.663337750939437,18.572619378398763,,7.661609960815592,3.545359942478702,1.5242329218433692,,72.25023567222783,82.6625476105957,70.65932384886034,87.88463316122193,26.79304949767379,7.004154234344869,11.618479424812605,4.449987077495411,0.9567148300983832,10.333298155059435,17.72219672632706,7.665379761282668,59.5,32.8,7.7
2024-04-12,51.214217037043895,62.861600929990026,57.199748525841144,74.91902154318845,45.91797745836399,32.615556915599804,38.47641345820326,12.533230209266142,2.8678055045921043,4.522842154410172,4.3238380159556025,12.547748247545407,40.33025564811715,40.87540422385419,33.348015760479335,,57.1759054631649,52.257111578987804,61.77902746016135,,2.493838888717953,6.867484197158009,4.872956779359323,,71.56023138615814,86.30992541876309,70.44776246311869,,23.827646025017486,12.33457701309621,25.83052029215948,,4.612122588824371,1.3554975681407053,3.7217172447218276,,52.8468977749703,70.28850464249142,75.83131067961165,,38.85384003536708,25.85836990304217,22.178398058252426,,8.299262189662624,3.853125454466402,1.9902912621359223,,72.50994394750468,67.95684325494243,65.33698630136986,74.91902154318845,26.582507166612096,26.15632421166545,25.680365296803654,12.533230209266142,0.9075488858832184,5.886832533392118,8.982648401826484,12.547748247545407,60.9,31.5,7.7
2024-04-13,51.26542738696664,62.861600929990026,57.199748525841144,74.91902154318845,45.837962153791274,32.615556915599804,38.47641345820326,12.533230209266142,2.8966104592420847,4.522842154410172,4.3238380159556025,12.547748247545407,40.399074366232455,41.23923698617731,32.834257653543034,,57.069114527736,51.987858783951765,62.40620868460363,,2.5318111060315465,6.772904229870921,4.759533661853334,,71.64679447807832,86.19202549324311,70.52589006883727,,23.761944802873238,12.41780592875268,25.795422800938955,,4.5912607190484405,1.3901685780042095,3.678687130223773,,52.84005074569945,69.75088392707565,70.95789269159242,,38.774211397060846,26.09605487842512,27.02140061620451,,8.385737857239695,4.153061194499226,2.0207066922030696,,72.72831052616083,72.8991762427686,69.55741811771256,76.51833791057419,26.377999822045652,22.343226109320334,22.837348838647824,12.25691350021887,0.8936896517935337,4.757597647911064,7.605233043639625,11.22474858920695,60.8,31.5,7.7
2024-04-14,51.40141822618911,63.29597299393258,56.85635835038225,76.51833791057419,45.678758586027364,32.2329416882477,38.93469779923963,12.25691350021887,2.919823187783521,4.471085317819712,4.208943850378113,11.22474858920695,40.46942900722531,42.32761497062933,35.88370578016424,,57.00427191287467,51.60656472269258,59.6538415982312,,2.5262990799000247,6.0658203066780905,4.462452621604548,,71.73355137792879,85.97535173225133,71.53877826894242,,23.68046719067502,12.505402031163717,24.85763562488832,,4.585981431396181,1.519246236584956,3.603586106169252,,52.87152930351877,69.44933737752153,71.43271156075456,,38.72232979534573,26.136568683891703,26.591316260933713,,8.406140901135494,4.414093938586769,1.9759721783117294,,72.92638464105596,76.60118141093857,73.77607053546107,78.66232655031868,26.168056269880953,19.21943401877258,19.832942329010802,11.199249417251476,0.9055590890630849,4.179384570288853,6.390987135528113,10.138424032429839,60.7,31.6,7.8
2024-04-21,51.71147830919177,61.378738531022925,57.51838446042223,82.78487636694052,45.19207693001724,33.96117562575743,38.45051891402023,10.931732352574588,3.0964447607909835,4.66008584321965,4.031096625557539,6.283391280484889,40.62389057455749,42.594659185024724,40.62621651947576,,56.702187562083694,51.48899002178,54.93973696463602,,2.6739218633588084,5.916350793195277,4.434046515888221,,71.09134208927192,84.60601381908171,69.92774678202574,,23.85480816147099,12.937102372896202,26.100695596219985,,5.053849749257093,2.4568838080220754,3.971557621754279,,53.40468158332278,66.23422105007786,69.23127559013652,,37.93212617147858,26.637371753234053,28.43582553286728,,8.663192245198644,7.128407196688083,2.3328988769961954,,73.86514724726943,81.89178296167017,79.02403769440872,84.43746723235765,25.202232891853292,15.706186846720904,18.010906599337346,9.936763964350083,0.9326198608772747,2.402030191608929,2.9650557062539304,5.625768803292268,60.0,31.8,8.2
2024-04-22,51.91080415008832,62.216007166162036,59.07231718956738,84.43746723235765,44.98093850330692,33.151604818250796,37.00725875495148,9.936763964350083,3.1082573466047645,4.632388015587167,3.9204240554811385,5.625768803292268,40.94568455023109,44.816208916420145,42.21162001696353,,56.39243222098156,49.600078800362745,53.38068985015549,,2.66188322878735,5.583712283217114,4.4076901328809726,,71.49166393308322,85.17023498242129,71.59759418974126,,23.524916098732028,12.411756102607276,24.669087607807537,,4.9834199681847595,2.4180089149714346,3.733318202451203,,53.55633271222203,65.79947828540499,71.55357400962853,,37.81736845034934,27.046263673339165,26.427324579446527,,8.626298837428623,7.15425804125584,2.01910141092494,,74.13825733725277,82.69411303577931,80.31791955571074,85.24632596450473,24.946349993343674,15.227277339123358,17.04910127866181,9.819933543280381,0.915392669403557,2.078609625097322,2.632979165627442,4.933740492214884,59.9,31.9,8.2
2024-04-23,52.296778209068286,63.62021398466491,60.96982784676865,85.24632596450473,44.61623695817635,32.00046858908566,35.29713195748389,9.819933543280381,3.0869848327553666,4.379317426249429,3.733040195747459,4.933740492214884,41.12775378520339,45.719411373101515,42.624318852768155,,56.22988606848578,49.06350902000451,53.213584362550236,,2.642360146310838,5.217079606893978,4.162096784681611,,71.68753831982205,85.20967934971345,72.26134186274106,,23.311903852172616,12.229562296564728,23.953154803108255,,5.000557828005336,2.5607583537218233,3.785503334150687,,53.06541867431168,62.87281596014639,70.30096998442733,,37.707850887463856,27.230099382958144,27.30613034229356,,9.226730438224457,9.897084656895466,2.3928996732791172,,74.37320541251282,83.56011192731584,80.71050995024875,85.91379128771256,24.706555989424192,14.434017279146921,16.602922885572138,9.351088939200968,0.9202385980629967,2.005870793537227,2.6865671641791042,4.7351197730864705,59.8,31.9,8.3
2024-04-24,52.45890985484133,63.680185203301065,61.14039057332823,85.91379128771256,44.422362693688,31.76665751805199,35.165001566470565,9.351088939200968,3.118727451470675,4.553157278646941,3.6946078602012045,4.7351197730864705,41.173139445860485,45.8454145222298,42.340047994401345,,56.17949767374799,48.98156301027263,53.38642118710569,,2.6473628803915297,5.173022467497571,4.273530818492959,,71.83534755545625,85.29561854793289,72.58875606640056,,23.194389529345965,12.147699652613714,23.707942933492802,,4.970262915197781,2.556681799453405,3.703301000106639,,53.128500160737204,63.00373075220425,70.18912972700994,,37.667978240348106,27.183200740499085,27.49040539073985,,9.203521598914689,9.813068507296672,2.3204648822502194,,74.2836423706628,82.16842050822021,80.08755865857846,84.65101960431505,24.796777332129384,15.930234528192694,17.327887146617833,10.821246235973023,0.9195802972078145,1.9013449635870927,2.584554194803708,4.527734159711927,59.7,31.9,8.4
2024-04-28,52.78404426467975,63.45639462223801,61.26120422143775,85.65076693107478,43.956770280170204,31.369333091932127,34.65399891776884,10.195562944140146,3.2591854551500448,5.1742722858298595,4.084796860793415,4.153670124785066,40.45613830802171,40.16134689582603,38.03864484427532,,56.565231560480534,53.27280406338558,55.54054753020283,,2.9786301314977637,6.565849040788388,6.420807625521853,,73.8988243313709,87.49564634963161,75.79435008284085,,21.642443355036622,10.371399866041527,21.107293250445977,,4.45873231359247,2.1329537843268587,3.098356666713163,,53.40767889515272,61.33196510349729,71.16649385276256,,37.109599269070834,27.854502704910683,26.186490890238485,,9.482721835776449,10.81353219159203,2.647015256998963,,74.88536465165735,83.48244841312858,81.42511104429859,85.72420072850528,24.17990398908642,14.764024202214152,16.045404779868505,10.174731484117922,0.9347313592562174,1.753527384657267,2.529484175832903,4.101067787376797,59.3,32.1,8.6
